mouse,average,distance,experiment
A,0.422772651,first,retro_dg
A,0.094489851,second,retro_dg
A,0.044886938,third,retro_dg
A,0.036819549,fourth,retro_dg
B,0.264795318,first,retro_dg
B,0.161513729,second,retro_dg
B,0.07053014,third,retro_dg
B,0.060131067,fourth,retro_dg
C,0.449662143,first,retro_dg
C,0.257357767,second,retro_dg
C,0.079219858,third,retro_dg
C,0.091807464,fourth,retro_dg
