mouse,distance_microns,grey_value,grey_value_normalised,,
A,73.623,11.441,0.058533712,9.4534,43.4099
A,74.247,11.472,0.059446645,9.4534,43.4099
A,74.871,11.4161,0.057800421,9.4534,43.4099
A,75.495,11.1925,0.051215526,9.4534,43.4099
A,76.119,11.2919,0.0541428,9.4534,43.4099
A,76.743,11.7391,0.067312591,9.4534,43.4099
A,77.367,12.0621,0.076824761,9.4534,43.4099
A,77.991,11.9938,0.074813364,9.4534,43.4099
A,78.615,11.6149,0.06365497,9.4534,43.4099
A,79.239,11.3043,0.054507973,9.4534,43.4099
A,79.863,10.9006,0.042619233,9.4534,43.4099
A,80.486,10.6273,0.034570701,9.4534,43.4099
A,81.11,10.5714,0.032924477,9.4534,43.4099
A,81.734,10.6398,0.034938819,9.4534,43.4099
A,82.358,10.4907,0.030547907,9.4534,43.4099
A,82.982,10.5217,0.03146084,9.4534,43.4099
A,83.606,10.8385,0.040790423,9.4534,43.4099
A,84.23,11.1801,0.050850353,9.4534,43.4099
A,84.854,11.8509,0.070605039,9.4534,43.4099
A,85.478,12.3292,0.084690707,9.4534,43.4099
A,86.102,12.1553,0.079569449,9.4534,43.4099
A,86.726,11.4969,0.060179936,9.4534,43.4099
A,87.35,11.1304,0.049386715,9.4534,43.4099
A,87.974,10.8882,0.04225406,9.4534,43.4099
A,88.597,10.8199,0.040242663,9.4534,43.4099
A,89.221,10.8261,0.04042525,9.4534,43.4099
A,89.845,10.8758,0.041888887,9.4534,43.4099
A,90.469,11.1366,0.049569302,9.4534,43.4099
A,91.093,11.4783,0.059632176,9.4534,43.4099
A,91.717,11.4845,0.059814763,9.4534,43.4099
A,92.341,11.2795,0.053777627,9.4534,43.4099
A,92.965,11.2609,0.053229868,9.4534,43.4099
A,93.589,11.2795,0.053777627,9.4534,43.4099
A,94.213,11.2174,0.051948817,9.4534,43.4099
A,94.837,11.3416,0.055606438,9.4534,43.4099
A,95.461,11.4658,0.059264058,9.4534,43.4099
A,96.085,11.2981,0.054325387,9.4534,43.4099
A,96.708,11.1801,0.050850353,9.4534,43.4099
A,97.332,11.3913,0.057070075,9.4534,43.4099
A,97.956,11.5342,0.0612784,9.4534,43.4099
A,98.58,11.4037,0.057435248,9.4534,43.4099
A,99.204,11.2733,0.053595041,9.4534,43.4099
A,99.828,11.2484,0.05286175,9.4534,43.4099
A,100.452,11.1863,0.051032939,9.4534,43.4099
A,101.076,11.2112,0.05176623,9.4534,43.4099
A,101.7,11.2484,0.05286175,9.4534,43.4099
A,102.324,11.0621,0.047375318,9.4534,43.4099
A,102.948,10.9379,0.043717698,9.4534,43.4099
A,103.572,10.7578,0.038413853,9.4534,43.4099
A,104.196,10.6398,0.034938819,9.4534,43.4099
A,104.82,10.5652,0.03274189,9.4534,43.4099
A,105.443,10.528,0.031646371,9.4534,43.4099
A,106.067,10.646,0.035121405,9.4534,43.4099
A,106.691,10.8758,0.041888887,9.4534,43.4099
A,107.315,11.0311,0.046462386,9.4534,43.4099
A,107.939,11.0186,0.046094268,9.4534,43.4099
A,108.563,10.9627,0.044448044,9.4534,43.4099
A,109.187,10.8696,0.041706301,9.4534,43.4099
A,109.811,10.8261,0.04042525,9.4534,43.4099
A,110.435,10.7578,0.038413853,9.4534,43.4099
A,111.059,10.913,0.042984407,9.4534,43.4099
A,111.683,10.9752,0.044816162,9.4534,43.4099
A,112.307,11.0373,0.046644972,9.4534,43.4099
A,112.931,10.9565,0.044265457,9.4534,43.4099
A,113.554,10.7826,0.039144199,9.4534,43.4099
A,114.178,10.7391,0.037863148,9.4534,43.4099
A,114.802,11.0932,0.048291196,9.4534,43.4099
A,115.426,11.2609,0.053229868,9.4534,43.4099
A,116.05,11.2795,0.053777627,9.4534,43.4099
A,116.674,11.1988,0.051401057,9.4534,43.4099
A,117.298,11.0311,0.046462386,9.4534,43.4099
A,117.922,11.0683,0.047557905,9.4534,43.4099
A,118.546,11.1739,0.050667766,9.4534,43.4099
A,119.17,11.236,0.052496577,9.4534,43.4099
A,119.794,11.1056,0.048656369,9.4534,43.4099
A,120.418,11.1925,0.051215526,9.4534,43.4099
A,121.042,11.4348,0.058351126,9.4534,43.4099
A,121.666,11.2795,0.053777627,9.4534,43.4099
A,122.289,11.0248,0.046276854,9.4534,43.4099
A,122.913,11.0435,0.046827559,9.4534,43.4099
A,123.537,11.2484,0.05286175,9.4534,43.4099
A,124.161,11.3478,0.055789024,9.4534,43.4099
A,124.785,11.4596,0.059081472,9.4534,43.4099
A,125.409,11.4161,0.057800421,9.4534,43.4099
A,126.033,11.4472,0.058716299,9.4534,43.4099
A,126.657,11.7205,0.066764831,9.4534,43.4099
A,127.281,11.6708,0.065301194,9.4534,43.4099
A,127.905,11.4845,0.059814763,9.4534,43.4099
A,128.529,11.5404,0.061460987,9.4534,43.4099
A,129.153,11.6087,0.063472384,9.4534,43.4099
A,129.777,11.3975,0.057252661,9.4534,43.4099
A,130.4,11.2422,0.052679163,9.4534,43.4099
