mouse,average,distance
A,0.343859323,first
A,0.190276722,second
A,0.111950574,third
A,0.111939182,fourth
B,0.462772576,first
B,0.21421904,second
B,0.113050679,third
B,0.060509499,fourth
C,0.295448971,first
C,0.171270835,second
C,0.038186026,third
C,0.045805797,fourth
