mouse,average,distance
A,0.632689453,first
A,0.011448171,second
A,0.002259455,third
A,0.001068353,fourth
B,0.493985064,first
B,0.157915877,second
B,0.036615702,third
B,0.04443893,fourth
C,0.48370036,first
C,0.185002126,second
C,0.171983888,third
C,0.169514742,fourth
