mouse,distance_microns,grey_value,grey_value_normalised,,
A,73.623,20.0062,0.644429277,7.8261,26.7267
A,74.247,20.6894,0.680576278,7.8261,26.7267
A,74.871,21.3789,0.717056601,7.8261,26.7267
A,75.495,22.3106,0.766351333,7.8261,26.7267
A,76.119,22.441,0.773250585,7.8261,26.7267
A,76.743,22.0373,0.751891474,7.8261,26.7267
A,77.367,21.4161,0.719024793,7.8261,26.7267
A,77.991,20.0373,0.646074728,7.8261,26.7267
A,78.615,19.5528,0.620440621,7.8261,26.7267
A,79.239,20.1925,0.654286107,7.8261,26.7267
A,79.863,20.9193,0.692739913,7.8261,26.7267
A,80.486,21.5901,0.72823085,7.8261,26.7267
A,81.11,21.1056,0.702596743,7.8261,26.7267
A,81.734,21.4658,0.721654339,7.8261,26.7267
A,82.358,21.7391,0.736114197,7.8261,26.7267
A,82.982,21.6211,0.729871009,7.8261,26.7267
A,83.606,20.8696,0.690110367,7.8261,26.7267
A,84.23,20.3975,0.665132324,7.8261,26.7267
A,84.854,20.8696,0.690110367,7.8261,26.7267
A,85.478,21.0683,0.700623261,7.8261,26.7267
A,86.102,20.7453,0.683533856,7.8261,26.7267
A,86.726,20.6211,0.676962636,7.8261,26.7267
A,87.35,20.1553,0.652317916,7.8261,26.7267
A,87.974,20.2547,0.657577008,7.8261,26.7267
A,88.597,20.8137,0.687152789,7.8261,26.7267
A,89.221,20.6398,0.677952023,7.8261,26.7267
A,89.845,20.7578,0.684195211,7.8261,26.7267
A,90.469,20.4783,0.66940732,7.8261,26.7267
A,91.093,19.8634,0.636873962,7.8261,26.7267
A,91.717,19.1739,0.600393638,7.8261,26.7267
A,92.341,19.5342,0.619456525,7.8261,26.7267
A,92.965,19.6957,0.628001227,7.8261,26.7267
A,93.589,18.7453,0.57771711,7.8261,26.7267
A,94.213,18.4099,0.559971641,7.8261,26.7267
A,94.837,18.6957,0.575092854,7.8261,26.7267
A,95.461,19.1615,0.599737574,7.8261,26.7267
A,96.085,20.2236,0.655931558,7.8261,26.7267
A,96.708,20.0745,0.648042919,7.8261,26.7267
A,97.332,19.2919,0.606636826,7.8261,26.7267
A,97.956,19.0497,0.593822418,7.8261,26.7267
A,98.58,18.646,0.572463308,7.8261,26.7267
A,99.204,19.3665,0.610583791,7.8261,26.7267
A,99.828,20.2112,0.655275494,7.8261,26.7267
A,100.452,20.0994,0.649360338,7.8261,26.7267
A,101.076,19.5404,0.619784557,7.8261,26.7267
A,101.7,19.9627,0.642127763,7.8261,26.7267
A,102.324,20.7019,0.681237633,7.8261,26.7267
A,102.948,20.3665,0.663492164,7.8261,26.7267
A,103.572,20.6832,0.680248246,7.8261,26.7267
A,104.196,20.7453,0.683533856,7.8261,26.7267
A,104.82,20.2857,0.659217168,7.8261,26.7267
A,105.443,19.6894,0.627667905,7.8261,26.7267
A,106.067,19.5155,0.618467139,7.8261,26.7267
A,106.691,19.3168,0.607954245,7.8261,26.7267
A,107.315,19.7578,0.631286837,7.8261,26.7267
A,107.939,19.0994,0.596451964,7.8261,26.7267
A,108.563,19.2484,0.604335312,7.8261,26.7267
A,109.187,20.4658,0.668745966,7.8261,26.7267
A,109.811,20.8571,0.689449012,7.8261,26.7267
A,110.435,20.3913,0.664804292,7.8261,26.7267
A,111.059,21.677,0.732828587,7.8261,26.7267
A,111.683,21.4472,0.720670243,7.8261,26.7267
A,112.307,20.646,0.678280055,7.8261,26.7267
A,112.931,20.7453,0.683533856,7.8261,26.7267
A,113.554,20.6335,0.6776187,7.8261,26.7267
A,114.178,20.0124,0.644757309,7.8261,26.7267
A,114.802,18.4534,0.562273155,7.8261,26.7267
A,115.426,18.3292,0.555701935,7.8261,26.7267
A,116.05,20.1056,0.64968837,7.8261,26.7267
A,116.674,21.2919,0.712453573,7.8261,26.7267
A,117.298,20.5466,0.673020962,7.8261,26.7267
A,117.922,18.5093,0.565230733,7.8261,26.7267
A,118.546,18.5093,0.565230733,7.8261,26.7267
A,119.17,20.0248,0.645413373,7.8261,26.7267
A,119.794,20.7391,0.683205824,7.8261,26.7267
A,120.418,20.6584,0.678936118,7.8261,26.7267
A,121.042,20.8075,0.686824757,7.8261,26.7267
A,121.666,21.118,0.703252807,7.8261,26.7267
A,122.289,21.1863,0.706866449,7.8261,26.7267
A,122.913,20.6335,0.6776187,7.8261,26.7267
A,123.537,20.9565,0.694708105,7.8261,26.7267
A,124.161,21.1429,0.704570225,7.8261,26.7267
A,124.785,21.4907,0.722971758,7.8261,26.7267
A,125.409,20.9255,0.693067945,7.8261,26.7267
A,126.033,20.4969,0.670391416,7.8261,26.7267
A,126.657,20.8137,0.687152789,7.8261,26.7267
A,127.281,20.7329,0.682877792,7.8261,26.7267
A,127.905,20.2919,0.6595452,7.8261,26.7267
A,128.529,20.1056,0.64968837,7.8261,26.7267
A,129.153,20.2857,0.659217168,7.8261,26.7267
A,129.777,20.6894,0.680576278,7.8261,26.7267
A,130.4,20.677,0.679920214,7.8261,26.7267
A,131.024,20.6149,0.676634604,7.8261,26.7267
A,131.648,20.2298,0.65625959,7.8261,26.7267
A,132.272,19.4783,0.616498947,7.8261,26.7267
A,132.896,19.3665,0.610583791,7.8261,26.7267
A,133.52,19.9317,0.640487604,7.8261,26.7267
A,134.144,20.6025,0.67597854,7.8261,26.7267
A,134.768,20.5404,0.67269293,7.8261,26.7267
A,135.392,20.5714,0.67433309,7.8261,26.7267
A,136.016,21.8075,0.73973313,7.8261,26.7267
A,136.64,21.4161,0.719024793,7.8261,26.7267
A,137.264,21.3416,0.715083119,7.8261,26.7267
A,137.888,21.3789,0.717056601,7.8261,26.7267
A,138.512,20.913,0.69240659,7.8261,26.7267
A,139.135,20.1801,0.653630043,7.8261,26.7267
A,139.759,20.1491,0.651989884,7.8261,26.7267
A,140.383,20.441,0.667433838,7.8261,26.7267
A,141.007,20.8571,0.689449012,7.8261,26.7267
A,141.631,21.236,0.709495995,7.8261,26.7267
A,142.255,20.559,0.673677026,7.8261,26.7267
A,142.879,20.0373,0.646074728,7.8261,26.7267
A,143.503,20.7888,0.68583537,7.8261,26.7267
A,144.127,21.0435,0.699311133,7.8261,26.7267
A,144.751,19.9814,0.64311715,7.8261,26.7267
A,145.375,19.5342,0.619456525,7.8261,26.7267
A,145.999,19.9379,0.640815635,7.8261,26.7267
A,146.623,19.6957,0.628001227,7.8261,26.7267
A,147.246,19.8385,0.635556543,7.8261,26.7267
A,147.87,20.2547,0.657577008,7.8261,26.7267
A,148.494,20.0497,0.646730792,7.8261,26.7267
A,149.118,19.4969,0.617483043,7.8261,26.7267
