mouse,distance_microns,grey_value,grey_value_normalised,,
A,73.623,27.2733,0.613126876,5.8634,40.7826
A,74.247,24.9441,0.546424317,5.8634,40.7826
A,74.871,25.3851,0.559053472,5.8634,40.7826
A,75.495,25.1304,0.55175949,5.8634,40.7826
A,76.119,24.5901,0.536286627,5.8634,40.7826
A,76.743,22.8447,0.486302664,5.8634,40.7826
A,77.367,23.1242,0.494306857,5.8634,40.7826
A,77.991,20.087,0.407328919,5.8634,40.7826
A,78.615,18.1242,0.351119155,5.8634,40.7826
A,79.239,18.5652,0.36374831,5.8634,40.7826
A,79.863,19.0497,0.377623199,5.8634,40.7826
A,80.486,18.5714,0.363925863,5.8634,40.7826
A,81.11,18.1677,0.352364888,5.8634,40.7826
A,81.734,18.9193,0.373888863,5.8634,40.7826
A,82.358,22.0621,0.463890925,5.8634,40.7826
A,82.982,21.1429,0.437567298,5.8634,40.7826
A,83.606,19.4969,0.390429907,5.8634,40.7826
A,84.23,17.5776,0.335465876,5.8634,40.7826
A,84.854,15.0621,0.263428143,5.8634,40.7826
A,85.478,13.5839,0.22109613,5.8634,40.7826
A,86.102,13.4845,0.218249559,5.8634,40.7826
A,86.726,14.5714,0.249375702,5.8634,40.7826
A,87.35,13.4472,0.217181379,5.8634,40.7826
A,87.974,13.4472,0.217181379,5.8634,40.7826
A,88.597,16.0373,0.291355472,5.8634,40.7826
A,89.221,17.2671,0.326573919,5.8634,40.7826
A,89.845,15.3789,0.272500515,5.8634,40.7826
A,90.469,13.441,0.217003826,5.8634,40.7826
A,91.093,12.8261,0.199394602,5.8634,40.7826
A,91.717,11.6211,0.164886366,5.8634,40.7826
A,92.341,11.9068,0.173068112,5.8634,40.7826
A,92.965,12.0497,0.177160416,5.8634,40.7826
A,93.589,12.118,0.17911636,5.8634,40.7826
A,94.213,11.9441,0.174136292,5.8634,40.7826
A,94.837,12.5652,0.191923068,5.8634,40.7826
A,95.461,13.6087,0.221806341,5.8634,40.7826
A,96.085,13.0621,0.206153062,5.8634,40.7826
A,96.708,13.1801,0.209532292,5.8634,40.7826
A,97.332,14.5466,0.248665491,5.8634,40.7826
A,97.956,14.472,0.24652913,5.8634,40.7826
A,98.58,12.472,0.189254049,5.8634,40.7826
A,99.204,11.2236,0.153502944,5.8634,40.7826
A,99.828,11.0311,0.147990217,5.8634,40.7826
A,100.452,10.7267,0.13927295,5.8634,40.7826
A,101.076,10.8509,0.142829733,5.8634,40.7826
A,101.7,12.1553,0.18018454,5.8634,40.7826
A,102.324,12.472,0.189254049,5.8634,40.7826
A,102.948,10.7205,0.139095397,5.8634,40.7826
A,103.572,10.2919,0.126821348,5.8634,40.7826
A,104.196,9.8882,0.115260373,5.8634,40.7826
A,104.82,10.2112,0.124510298,5.8634,40.7826
A,105.443,10.7205,0.139095397,5.8634,40.7826
A,106.067,10.441,0.131091205,5.8634,40.7826
A,106.691,10.1801,0.123619671,5.8634,40.7826
A,107.315,10.5901,0.135361062,5.8634,40.7826
A,107.939,10.913,0.144608124,5.8634,40.7826
A,108.563,10.528,0.133582671,5.8634,40.7826
A,109.187,11.5093,0.161684689,5.8634,40.7826
A,109.811,11.0248,0.147809801,5.8634,40.7826
A,110.435,10.5528,0.134292882,5.8634,40.7826
A,111.059,10.472,0.131978969,5.8634,40.7826
A,111.683,11.0186,0.147632248,5.8634,40.7826
A,112.307,11.5652,0.163285528,5.8634,40.7826
A,112.931,11.4224,0.159196087,5.8634,40.7826
A,113.554,11.0497,0.148522876,5.8634,40.7826
A,114.178,10.5342,0.133760224,5.8634,40.7826
A,114.802,9.646,0.10832436,5.8634,40.7826
A,115.426,9.8137,0.113126876,5.8634,40.7826
A,116.05,10.0311,0.119352677,5.8634,40.7826
A,116.674,10.2857,0.126643795,5.8634,40.7826
A,117.298,10.6211,0.136248826,5.8634,40.7826
A,117.922,10.795,0.141228894,5.8634,40.7826
A,118.546,12.0435,0.176982863,5.8634,40.7826
A,119.17,17.3602,0.329240074,5.8634,40.7826
A,119.794,19.7826,0.398611652,5.8634,40.7826
A,120.418,14.7516,0.254536186,5.8634,40.7826
A,121.042,11.7453,0.168443149,5.8634,40.7826
A,121.666,11.1801,0.152257211,5.8634,40.7826
A,122.289,11.3789,0.157950354,5.8634,40.7826
A,122.913,11.5217,0.162039795,5.8634,40.7826
A,123.537,11.8199,0.170579509,5.8634,40.7826
A,124.161,11.6149,0.164708813,5.8634,40.7826
A,124.785,11.6894,0.16684231,5.8634,40.7826
A,125.409,11.2174,0.153325391,5.8634,40.7826
A,126.033,10.0497,0.119885335,5.8634,40.7826
A,126.657,9.764,0.11170359,5.8634,40.7826
A,127.281,9.6335,0.107966391,5.8634,40.7826
A,127.905,10.1988,0.124155193,5.8634,40.7826
A,128.529,10.3292,0.127889528,5.8634,40.7826
A,129.153,10.1553,0.12290946,5.8634,40.7826
A,129.777,10.8758,0.143542807,5.8634,40.7826
A,130.4,10.6957,0.138385186,5.8634,40.7826
A,131.024,10.8012,0.141406447,5.8634,40.7826
A,131.648,10.1429,0.122554354,5.8634,40.7826
A,132.272,10.4161,0.13037813,5.8634,40.7826
A,132.896,11.3354,0.156704621,5.8634,40.7826
A,133.52,11.6398,0.165421888,5.8634,40.7826
A,134.144,11.1118,0.150301267,5.8634,40.7826
A,134.768,11.0435,0.148345323,5.8634,40.7826
A,135.392,11.1801,0.152257211,5.8634,40.7826
A,136.016,11.0373,0.14816777,5.8634,40.7826
A,136.64,11.4472,0.159906298,5.8634,40.7826
A,137.264,10.8634,0.143187702,5.8634,40.7826
A,137.888,10.236,0.125220509,5.8634,40.7826
A,138.512,10.6273,0.136426379,5.8634,40.7826
A,139.135,11.5155,0.161862242,5.8634,40.7826
A,139.759,10.6708,0.137672112,5.8634,40.7826
A,140.383,10.5155,0.133224702,5.8634,40.7826
A,141.007,10.8571,0.143007285,5.8634,40.7826
A,141.631,10.3727,0.129135261,5.8634,40.7826
A,142.255,9.9814,0.117929391,5.8634,40.7826
A,142.879,10.7205,0.139095397,5.8634,40.7826
A,143.503,10.8137,0.141764416,5.8634,40.7826
A,144.127,10.4224,0.130558547,5.8634,40.7826
A,144.751,10.3292,0.127889528,5.8634,40.7826
A,145.375,10.2919,0.126821348,5.8634,40.7826
A,145.999,9.7702,0.111881143,5.8634,40.7826
A,146.623,9.472,0.103341428,5.8634,40.7826
A,147.246,9.9752,0.117751839,5.8634,40.7826
A,147.87,9.8882,0.115260373,5.8634,40.7826
A,148.494,9.6335,0.107966391,5.8634,40.7826
A,149.118,9.4224,0.101921006,5.8634,40.7826
A,149.742,9.7516,0.111348485,5.8634,40.7826
A,150.366,9.9752,0.117751839,5.8634,40.7826
A,150.99,10.0311,0.119352677,5.8634,40.7826
A,151.614,10.4286,0.130736099,5.8634,40.7826
A,152.238,10.559,0.134470435,5.8634,40.7826
A,152.862,10.528,0.133582671,5.8634,40.7826
A,153.486,11.0435,0.148345323,5.8634,40.7826
A,154.11,10.8696,0.143365255,5.8634,40.7826
A,154.734,11.4969,0.161329584,5.8634,40.7826
A,155.358,11.7453,0.168443149,5.8634,40.7826
A,155.981,12.7267,0.196548031,5.8634,40.7826
A,156.605,12.764,0.197616211,5.8634,40.7826
A,157.229,10.7888,0.141051341,5.8634,40.7826
A,157.853,10.0559,0.120062888,5.8634,40.7826
A,158.477,9.8323,0.113659534,5.8634,40.7826
A,159.101,9.6335,0.107966391,5.8634,40.7826
A,159.725,9.8882,0.115260373,5.8634,40.7826
A,160.349,9.3789,0.100675273,5.8634,40.7826
A,160.973,10.1366,0.122373938,5.8634,40.7826
A,161.597,10.528,0.133582671,5.8634,40.7826
A,162.221,10.6087,0.13589372,5.8634,40.7826
A,162.845,10.7764,0.140696236,5.8634,40.7826
A,163.469,10.472,0.131978969,5.8634,40.7826
A,164.092,10.677,0.137849664,5.8634,40.7826
A,164.716,11.1925,0.152612316,5.8634,40.7826
A,165.34,11.4099,0.158838118,5.8634,40.7826
A,165.964,10.795,0.141228894,5.8634,40.7826
A,166.588,11.7019,0.16720028,5.8634,40.7826
A,167.212,12.0248,0.176447341,5.8634,40.7826
A,167.836,11.2422,0.154035602,5.8634,40.7826
A,168.46,11.2174,0.153325391,5.8634,40.7826
A,169.084,11.2857,0.155281335,5.8634,40.7826
A,169.708,11.7143,0.167555385,5.8634,40.7826
A,170.332,12.4969,0.189967124,5.8634,40.7826
A,170.956,12.2422,0.182673143,5.8634,40.7826
A,171.58,11.9565,0.174491397,5.8634,40.7826
A,172.204,11.882,0.172357901,5.8634,40.7826
A,172.827,11.7826,0.169511329,5.8634,40.7826
A,173.451,11.6708,0.166309652,5.8634,40.7826
A,174.075,11.6149,0.164708813,5.8634,40.7826
A,174.699,11.2795,0.155103782,5.8634,40.7826
A,175.323,10.7391,0.139628056,5.8634,40.7826
A,175.947,10.5963,0.135538615,5.8634,40.7826
A,176.571,10.4596,0.131623863,5.8634,40.7826
A,177.195,10.5342,0.133760224,5.8634,40.7826
A,177.819,10.6335,0.136603931,5.8634,40.7826
A,178.443,10.9627,0.14603141,5.8634,40.7826
A,179.067,10.7329,0.139450503,5.8634,40.7826
A,179.691,10.4969,0.132692043,5.8634,40.7826
A,180.315,10.3727,0.129135261,5.8634,40.7826
A,180.938,10.1863,0.123797223,5.8634,40.7826
A,181.562,10.3789,0.129312814,5.8634,40.7826
A,182.186,10.0994,0.121308621,5.8634,40.7826
A,182.81,10.0373,0.11953023,5.8634,40.7826
A,183.434,9.5155,0.104587161,5.8634,40.7826
A,184.058,9.559,0.105832894,5.8634,40.7826
A,184.682,9.9565,0.117216317,5.8634,40.7826
A,185.306,9.8509,0.114192192,5.8634,40.7826
A,185.93,9.2609,0.097296043,5.8634,40.7826
A,186.554,9.6646,0.108857018,5.8634,40.7826
A,187.178,9.7267,0.11063541,5.8634,40.7826
A,187.802,9.3168,0.098896882,5.8634,40.7826
A,188.426,9.4037,0.101385484,5.8634,40.7826
A,189.05,9.3354,0.09942954,5.8634,40.7826
A,189.673,9.0435,0.091070242,5.8634,40.7826
A,190.297,9.0186,0.090357167,5.8634,40.7826
A,190.921,9.3416,0.099607093,5.8634,40.7826
A,191.545,9.7826,0.112236248,5.8634,40.7826
A,192.169,9.9814,0.117929391,5.8634,40.7826
A,192.793,9.6335,0.107966391,5.8634,40.7826
A,193.417,8.8075,0.084311783,5.8634,40.7826
A,194.041,8.6584,0.080041925,5.8634,40.7826
A,194.665,9.1988,0.095517652,5.8634,40.7826
A,195.289,9.8571,0.114369745,5.8634,40.7826
A,195.913,10.1739,0.123442118,5.8634,40.7826
A,196.537,10.3478,0.128422186,5.8634,40.7826
A,197.161,10.6273,0.136426379,5.8634,40.7826
A,197.784,9.7453,0.111168068,5.8634,40.7826
A,198.408,9.9876,0.118106944,5.8634,40.7826
A,199.032,10.1677,0.123264565,5.8634,40.7826
A,199.656,10.4845,0.132336938,5.8634,40.7826
A,200.28,10.354,0.128599739,5.8634,40.7826
A,200.904,10,0.11846205,5.8634,40.7826
A,201.528,10.0435,0.119707783,5.8634,40.7826
A,202.152,9.913,0.115970584,5.8634,40.7826
A,202.776,9.9317,0.116506106,5.8634,40.7826
A,203.4,10.0435,0.119707783,5.8634,40.7826
A,204.024,10.2671,0.126111137,5.8634,40.7826
A,204.648,10.1863,0.123797223,5.8634,40.7826
A,205.272,10.1304,0.122196385,5.8634,40.7826
A,205.896,9.9752,0.117751839,5.8634,40.7826
A,206.519,9.8447,0.11401464,5.8634,40.7826
A,207.143,9.9193,0.116151,5.8634,40.7826
A,207.767,9.8882,0.115260373,5.8634,40.7826
A,208.391,9.9255,0.116328553,5.8634,40.7826
A,209.015,9.7578,0.111526037,5.8634,40.7826
A,209.639,10.1056,0.121486174,5.8634,40.7826
A,210.263,10.1491,0.122731907,5.8634,40.7826
A,210.887,10.2112,0.124510298,5.8634,40.7826
