cell,,animal,layer,type,vm,ir_neg,ir_pos,tm_on,tm_neg_off,tm_pos_on,tm_pos_off,sag,ap_thresh,ap_max,ap_halfwidth,rheobase,ahp_max,res_freq,res_mag,morphology_confirmed,dv,dist_psub,expression,response,epsp_tval,epsp_pval,epsp_sig,ipsp_tval,ipsp_pval,ipsp_sig,response_type,biphasic,subthreshold,baseline_vm,epsp,epsp_sd,epsp_pk,epsp_pk_sd,epsp_latency,epsp_latency_sd,epsp_halfwidth,ipsp,ipsp_sd,ipsp_pk,ipsp_pk_sd,ipsp_latency,ipsp_halfwidth,ei,ei_pk,interneuron_type
865_S2C1_J,,865,l2,l2_in,-71.7609,303.708,292.871,20.9089,18.9449,20.8659,19.592,0.929317,-37.6688,44.2938,0.53,126.875,-58.25,1.0833,1.0487,N,4.12,217.538,Y,Y,28.9,0,Y,NA,NA,NA,epsp,N,Y,-73.52182667,12.56636733,2.379175602,12.877026,2.339146011,3.491965517,0.382789338,24.97622069,NA,NA,-0.810474413,0.707976668,NA,NA,1,0.940787259,fs
865_S4C1_J,,865,l2,l2_in,-72.8551,44.2733,42.029,4.40402,8.47288,8.42533,4.79895,0.910049,-42.1562,36.025,0.13,405,-72.2812,1,1,Y,3.76,136.6,Y,Y,36.5,0,Y,NA,NA,NA,ap,N,N,-75.56552,16.83342333,2.529440458,17.21135,2.579928169,3.911333333,0.122044179,11.42560333,NA,NA,-0.7573943,0.891600079,NA,NA,1,0.957849347,fs
907_S4C1_J,,907,l2,l2_in,-81.1413,25.4189,28.9689,80.2293,2.63105,2.5165,11.3468,0.759682,-50.8987,24.7575,0.04,648.75,-72,NA,NA,N,4.12,NA,Y,Y,39.5,0,Y,NA,NA,NA,epsp,N,Y,-81.7676975,11.4268265,1.891876117,11.695044,1.858762275,1.689975,0.113287809,7.73722875,NA,NA,-0.427610798,0.167281736,NA,NA,1,0.964726307,fs
918_S4C2_J,,918,l2,l2_in,-70.5569,24.9964,48.753,3.50413,8.19878,4.75525,6.16649,0.900946,NA,NA,NA,NA,NA,NA,NA,Y,3.28,47.04,Axonal,Y,23.1,0,Y,NA,NA,NA,epsp,N,Y,-75.941985,3.60898825,0.987479435,3.84479925,0.947543274,2.203153846,0.388868977,10.78062769,NA,NA,-0.7602789,0.414613514,NA,NA,1,0.834904235,fs
918_S2C1_J,,918,l2,l2_in,-67.4641,25.9651,29.2294,3.96652,5.26112,4.49377,5.78567,0.572449,-35.5294,24.7694,0.14,585,-62.4656,1,1,Y,3.76,40.087,Y,Y,35.7,0,Y,NA,NA,NA,epsp,N,Y,-75.66856,6.38434525,1.01738835,6.719104,1.031963263,2.135175,0.120391645,11.25259925,NA,NA,-0.240662105,0.074118539,NA,NA,1,0.965420949,fs
918_S3C3_J,,918,l2,l2_in,-74.4724,52.3026,63.0423,5.07892,49.8466,8.37562,6.35736,0.904236,-38.6987,32.3869,0.1,368.75,-69.3063,1,1,Y,4.12,146.467,Y,Y,42.9,0,Y,NA,NA,NA,epsp,N,Y,-73.693545,7.7693495,1.144546907,7.94487525,1.157447036,2.165975,0.165563449,10.3701415,NA,NA,-0.405047625,0.094727695,NA,NA,1,0.951490854,fs
923_S4C1_J,,923,l2,l2_in,-72.2531,36.2441,30.1094,2.50406,5.29858,3.20885,6.04893,0.896577,-40.0644,22.5975,0.08,680,-65.775,1,1,Y,3.28,341.413,Y,Y,14.7,0,Y,NA,NA,NA,epsp,N,Y,-71.2862825,0.46226465,0.199166739,0.774407925,0.198310356,NA,NA,NA,NA,NA,-0.27504596,0.102834251,NA,NA,1,0.737915154,fs
926_S1C3_J,,926,l2,l2_in,-72.1248,44.2057,39.8011,5.2277,12.7685,7.58267,4.81536,0.85816,-44.3388,32.4925,0.28,124.375,-55.1625,NA,NA,Y,3.76,9.8,Y,Y,2.8,0.009,Y,NA,NA,NA,epsp,N,Y,-73.60911333,0.115583447,0.225866857,0.562448867,0.261791515,NA,NA,NA,NA,NA,-0.313604822,0.342218629,NA,NA,1,0.642025568,fs
926_S2C2,,926,l2,l2_in,-69.228,198.898,177.414,8.22247,27.4893,20.1729,12.54,0.925652,-26.435,15.5556,0.47,93.125,-48.9531,1,1,Y,2.8,0,Axonal,N,NA,NA,NA,NA,NA,NA,none,N,Y,-65.193866,NA,NA,1.057299738,0.692605853,NA,NA,NA,NA,NA,-0.881138528,0.436854491,NA,NA,NA,NA,lts
926_S4C1,,926,l2,l2_in,-82.4415,85.5002,106.373,1.97308,3.64583,3.92447,6.69551,0.883877,-39.0862,22.7063,0.19,243.75,-62.5813,1,1,Y,3.96,254,Axonal,N,NA,NA,NA,NA,NA,NA,none,N,Y,-81.801324,NA,NA,1.25745566,0.676857519,NA,NA,NA,NA,NA,-0.69885701,0.41583108,NA,NA,NA,NA,fs
